CHAMP;SEXE;ANNEE_1962_2019;AGE_ATTEINT_R;DECES
FE;E;1999;D7;96
FE;E;1999;D8;107
FE;E;1999;D9;96
FE;E;1999;D10;108
FE;E;1999;D11;98
FE;E;1999;D12;108
FE;E;1999;D13;122
FE;E;1999;D14;162
FE;E;1999;D15;201
FE;E;1999;D16;246
FE;E;1999;D17;364
FE;E;1999;D18;513
FE;E;1999;D19;576
FE;E;1999;D20;580
FE;E;1999;D21;566
FE;E;1999;D22;597
FE;E;1999;D23;578
FE;E;1999;D24;592
FE;E;1999;D25;594
FE;E;1999;D26;711
FE;E;1999;D27;705
FE;E;1999;D28;690
FE;E;1999;D29;678
FE;E;1999;D30;717
FE;E;1999;D31;774
FE;E;1999;D32;828
FE;E;1999;D33;852
FE;E;1999;D34;963
FE;E;1999;D35;988
FE;E;1999;D36;1089
FE;E;1999;D37;1124
FE;E;1999;D38;1322
FE;E;1999;D39;1362
FE;E;1999;D40;1502
FE;E;1999;D41;1671
FE;E;1999;D42;1899
FE;E;1999;D43;2075
FE;E;1999;D44;2234
FE;E;1999;D45;2406
FE;E;1999;D46;2610
FE;E;1999;D47;2809
FE;E;1999;D48;3004
FE;E;1999;D49;3362
FE;E;1999;D50;3659
FE;E;1999;D51;3771
FE;E;1999;D52;4031
FE;E;1999;D53;4061
FE;E;1999;D54;3326
FE;E;1999;D55;3627
FE;E;1999;D56;3766
FE;E;1999;D57;3588
FE;E;1999;D58;3613
FE;E;1999;D59;3806
FE;E;1999;D60;4593
FE;E;1999;D61;4942
FE;E;1999;D62;5119
FE;E;1999;D63;5671
FE;E;1999;D64;6202
FE;E;1999;D65;6717
FE;E;1999;D66;7126
FE;E;1999;D67;8096
FE;E;1999;D68;8766
FE;E;1999;D69;9352
FE;E;1999;D70;9733
FE;E;1999;D71;10616
FE;E;1999;D72;11050
FE;E;1999;D73;11942
FE;E;1999;D74;12644
FE;E;1999;D75;13081
FE;E;1999;D76;14309
FE;E;1999;D77;15455
FE;E;1999;D78;16919
FE;E;1999;D79;18680
FE;E;1999;D80;11893
FE;E;1999;D81;11066
FE;E;1999;D82;10278
FE;E;1999;D83;10287
FE;E;1999;D84;13473
FE;E;1999;D85;20221
FE;E;1999;D86;20882
FE;E;1999;D87;21115
FE;E;1999;D88;19429
FE;E;1999;D89;19360
FE;E;1999;D90;18109
FE;E;1999;D91;16499
FE;E;1999;D92;14369
FE;E;1999;D93;12548
FE;E;1999;D94;10484
FE;E;1999;D95;8603
FE;E;1999;D96;6770
FE;E;1999;D97;5256
FE;E;1999;D98;3906
FE;E;1999;D99;2560
FE;E;1999;D100;4842
FE;E;2000;DEC;540601
FE;E;2000;D0;3172
FE;E;2000;D1;658
FE;E;2000;D2;255
FE;E;2000;D3;162
FE;E;2000;D4;125
FE;E;2000;D5;111
FE;E;2000;D6;94
FE;E;2000;D7;101
FE;E;2000;D8;86
FE;E;2000;D9;94
FE;E;2000;D10;105
FE;E;2000;D11;85
FE;E;2000;D12;121
FE;E;2000;D13;138
FE;E;2000;D14;154
FE;E;2000;D15;216
FE;E;2000;D16;253
FE;E;2000;D17;320
FE;E;2000;D18;424
FE;E;2000;D19;576
FE;E;2000;D20;559
FE;E;2000;D21;563
FE;E;2000;D22;512
FE;E;2000;D23;541
FE;E;2000;D24;520
FE;E;2000;D25;571
FE;E;2000;D26;593
FE;E;2000;D27;628
FE;E;2000;D28;657
FE;E;2000;D29;667
FE;E;2000;D30;698
FE;E;2000;D31;745
FE;E;2000;D32;810
FE;E;2000;D33;832
FE;E;2000;D34;906
FE;E;2000;D35;1000
FE;E;2000;D36;1170
FE;E;2000;D37;1152
FE;E;2000;D38;1203
FE;E;2000;D39;1332
FE;E;2000;D40;1507
FE;E;2000;D41;1638
FE;E;2000;D42;1913
FE;E;2000;D43;1993
FE;E;2000;D44;2200
FE;E;2000;D45;2403
FE;E;2000;D46;2585
FE;E;2000;D47;2797
FE;E;2000;D48;3065
FE;E;2000;D49;3203
FE;E;2000;D50;3596
FE;E;2000;D51;3763
FE;E;2000;D52;3991
FE;E;2000;D53;4282
FE;E;2000;D54;4193
FE;E;2000;D55;3650
FE;E;2000;D56;3793
FE;E;2000;D57;3898
FE;E;2000;D58;3774
FE;E;2000;D59;3592
FE;E;2000;D60;4120
FE;E;2000;D61;4742
FE;E;2000;D62;4945
FE;E;2000;D63;5591
FE;E;2000;D64;5825
FE;E;2000;D65;6250
FE;E;2000;D66;7228
FE;E;2000;D67;7526
FE;E;2000;D68;8357
FE;E;2000;D69;9096
FE;E;2000;D70;9903
FE;E;2000;D71;10014
FE;E;2000;D72;11097
FE;E;2000;D73;11395
FE;E;2000;D74;12292
FE;E;2000;D75;13113
FE;E;2000;D76;13645
FE;E;2000;D77;15059
FE;E;2000;D78;15840
FE;E;2000;D79;17387
FE;E;2000;D80;19118
FE;E;2000;D81;12164
FE;E;2000;D82;11458
FE;E;2000;D83;10745
FE;E;2000;D84;10410
FE;E;2000;D85;13456
FE;E;2000;D86;20341
FE;E;2000;D87;20377
FE;E;2000;D88;20313
FE;E;2000;D89;18341
FE;E;2000;D90;17925
FE;E;2000;D91;16441
FE;E;2000;D92;14997
FE;E;2000;D93;12501
FE;E;2000;D94;10846
FE;E;2000;D95;8907
FE;E;2000;D96;6937
FE;E;2000;D97;5281
FE;E;2000;D98;3993
FE;E;2000;D99;2828
FE;E;2000;D100;5052
FE;E;2001;DEC;541029
FE;E;2001;D0;3215
FE;E;2001;D1;660
FE;E;2001;D2;263
FE;E;2001;D3;177
FE;E;2001;D4;150
FE;E;2001;D5;130
FE;E;2001;D6;88
FE;E;2001;D7;97
FE;E;2001;D8;81
FE;E;2001;D9;87
FE;E;2001;D10;82
FE;E;2001;D11;99
FE;E;2001;D12;129
FE;E;2001;D13;119
FE;E;2001;D14;153
FE;E;2001;D15;229
FE;E;2001;D16;270
FE;E;2001;D17;344
FE;E;2001;D18;429
